	gene	cluster_1	cluster_2	cluster_3	cluster_4	cluster_5	cluster_6	cluster_7
15215	MS4A1	0.0440151169	2.7635380159	0.0561555173	0.0582655719	0.0662705155	0.0560114662	0.0527966646
2	A1BG.AS1	0.0146861016	0.014907001	0.0080595996	0.0133195202	0	0.0072566108	0.0087579832
3	A1CF	0	0	0	0	0	0	0
4	A2M	0.0033784421	0	0	0.0020761587	0.0037247688	0	0
5	A2M.AS1	0.0121489326	0	0.0055153788	0.0046824733	0.0525603767	0.0293694659	0.0042195654
6	A2ML1	0	0	0	0	0	0	0
7	A2ML1.AS1	0	0	0	0	0	0	0
8	A2ML1.AS2	0	0	0	0	0	0	0
9	A3GALT2	0	0	0	0	0	0	0
10	A4GALT	0	0	0	0	0	0	0.0037107971
11	A4GNT	0	0	0	0	0	0	0
12	AAAS	0.0323942436	0.0221472848	0.0463307041	0.0426487816	0.081650956	0.0172183335	0.0289799904
13	AACS	0.0026239569	0.006150098	0.0161948612	0.0023726318	0.0220030485	0.0117517173	0.0110816592
14	AADAC	0	0	0	0	0	0	0
15	AADACL2	0	0	0	0	0	0	0
16	AADACL3	0	0	0	0	0	0	0
17	AADACL4	0	0	0	0	0	0	0
18	AADAT	0	0	0	0	0	0	0
19	AAED1	0.0281241538	0.047779694	0.0456533346	0.080742943	0.0520793349	0.0639894943	0.0970248975
20	AAGAB	0.0318210125	0.0240346015	0.0340643359	0.0315316856	0.3070554232	0.0509316358	0.0414717016
21	AAK1	0.2666292017	0.0352515589	0.2314871141	0.0477183674	0.2189100264	0.225281924	0.0350393364
22	AAMDC	0.0246231784	0.0098937247	0.0369376469	0.0206218664	0.0489967721	0.0604428184	0.0363331515
23	AAMP	0.0935522108	0.2515262458	0.072266669	0.1776031055	0.1628845486	0.1029723324	0.123616293
24	AANAT	0	0	0	0	0	0	0
25	AAR2	0.0242387204	0.0405329049	0.0208153371	0.0205289037	0.0280551071	0.0398819312	0.019772173
26	AARD	0	0	0	0	0.0561602737	0	0
27	AARS	0.0221011904	0.019649866	0.0278534962	0.0134904465	0.039800352	0.0344793395	0.0169196144
28	AARS2	0.0032513024	0.0118196616	0.0028597355	0.0076423563	0.0052026394	0.0026176017	0.0062389761
29	AARSD1	0.0366774398	0.0205054954	0.0248034191	0.0183588722	0.0214793532	0.0339258181	0.0143580209
30	AASDH	0.0197240982	0.0337356851	0.0536344271	0.0039570596	0.0679578342	0.0198543274	0.0076191982
31	AASDHPPT	0.0541718765	0.070652303	0.0566318656	0.0505749986	0.1138497943	0.0483315532	0.0333943578
32	AASS	0.0010818915	0	0.0044197761	0	0	0	0
33	AATF	0.1544929372	0.2213016981	0.1199368478	0.1111277794	0.225145648	0.0837230073	0.0717713119
34	AATK	0.0013838454	0	0	0.0054183864	0	0	0.0026275749
35	AATK.AS1	0	0	0	0	0	0	0
36	AB019440.50	0	0	0	0	0	0	0
37	ABAT	0.0091051762	0.0083077612	0.0139801561	0.0129676356	0.0031827239	0.0089017756	0.0150546851
38	ABCA1	0.0012241996	0.0050179591	0.0033320135	0	0	0.0016965282	0
39	ABCA10	0	0	0	0	0	0	0
40	ABCA12	0	0	0	0	0	0	0
41	ABCA13	0	0	0	0	0	0	0
42	ABCA2	0.0063910452	0	0.014815423	0	0.0409453092	0.0208690054	0.0191523519
43	ABCA3	0.00136636	0	0	0.0046611954	0.0050795269	0	0.0020092527
44	ABCA4	0	0	0	0	0	0	0
