Sample_name	tissue	cellType	sortingMarkers
B.Fem.Sp_rep1	Spleen	B_cells	CD19+Igm+TCRb-
B.Fo.Sp_rep2	Spleen	B_cells	CD19+CD45R+IgM+CD93-CD23+CD43-CD5-
B.Fo.Sp_rep3	Spleen	B_cells	CD19+CD45R+IgM+CD93-CD23+CD43-CD5-
B.Fo.Sp_rep1	Spleen	B_cells	CD19+CD45R+IgM+CD93-CD23+CD43-CD5-
B.Fo.Sp_rep4	Spleen	B_cells	CD19+CD45R+IgM+CD93-CD23+CD43-CD5-
B.FrE.BM_rep1	Bone_Marrow	B_cells	CD93+IgM+CD19+CD43-HSA+
B.FrE.BM_rep2	Bone_Marrow	B_cells	CD93+IgM+CD19+CD43-HSA+
B.GC.CB.Sp_rep1	Spleen	B_cells	CD19+B220+IgD-Fas+CD38-CXCR4hi_CD86lo
B.GC.CB.Sp_rep3	Spleen	B_cells	CD19+B220+IgD-Fas+CD38-CXCR4hi_CD86lo
B.GC.CB.Sp_rep2	Spleen	B_cells	CD19+B220+IgD-Fas+CD38-CXCR4hi_CD86lo
B.GC.CC.Sp_rep2	Spleen	B_cells	CD19+B220+IgD-Fas+CD38-CXCR4lo_CD86hi
B.GC.CC.Sp_rep1	Spleen	B_cells	CD19+B220+IgD-Fas+CD38-CXCR4lo_CD86hi
B.GC.CC.Sp_rep3	Spleen	B_cells	CD19+B220+IgD-Fas+CD38-CXCR4lo_CD86hi
B.mem.Sp_rep1	Spleen	B_cells	CD19+B220+IgD-Fas-CD38+IgG+
B.MZ.Sp_rep1	Spleen	B_cells	CD19+CD45R+IgM++CD93-CD23-CD21/35++
B.MZ.Sp_rep2	Spleen	B_cells	CD19+CD45R+IgM++CD93-CD23-CD21/35++
B.PB.Sp_rep1	Spleen	B_cells	sorted_on_GFPlo_CD138+_MHCIIhi_(dump:_NK1.1-_TCRb-_Gr1-_CD11b-)
B.PB.Sp_rep2	Spleen	B_cells	sorted_on_GFPlo_CD138+_MHCIIhi_(dump:_NK1.1-_TCRb-_Gr1-_CD11b-)
B.PC.BM_rep1	Bone_Marrow	B_cells	sorted_on_GFPhi_CD138+_MHCIIlo_(dump:_NK1.1-_TCRb-_Gr1-_CD11b-)
