Rows	baseMean	baseSD	AvExpInCluster	AvExpInOtherClusters	foldChange	log2FoldChange	pval	padj	clusters	gene	cluster_1	cluster_2	cluster_3	cluster_4	cluster_5	cluster_6	cluster_7
ADTRP	0.045288189	0.2545610364	0.116515156	0.0165088494	7.0577393407	2.8192061489	7.21E-11	1.30E-07	1	ADTRP	0.116515156	0.0074601352	0.0651945695	0.0070832063	0.0042553159	0.0060290249	0.0138103333
LINC00176	0.0676870221	0.2952005368	0.1704119712	0.026180886	6.509022319	2.7024408611	8.96E-17	1.63E-13	1	LINC00176	0.1704119712	0.0034019013	0.1184236277	0.0048899977	0.0049367464	0.0409987773	0.0025542124
EPHX2	0.0559004091	0.251829336	0.1346477129	0.0240824686	5.5911092426	2.4831345335	5.52E-14	1.00E-10	1	EPHX2	0.1346477129	0	0.0892800896	0.0040054739	0.0134752965	0.0452145317	0.0074780241
SCGB3A1	0.063303667	0.3557601364	0.1510404692	0.0278535092	5.4226728827	2.4390041439	1.59E-08	2.85E-05	1	SCGB3A1	0.1510404692	0.0011668706	0.0786344784	0.0264053248	0.0113113919	0.0689412492	0
ITGA6	0.0192094872	0.145662037	0.0454533333	0.0086056304	5.2818133287	2.4010333143	1.81E-05	0.0319430816	1	ITGA6	0.0454533333	0.0054885157	0.0236280269	0.0030883274	0	0.0203917	0.0030930339
RP11.664D1.1	0.0596306696	0.2632257753	0.1391633854	0.0274953825	5.0613365864	2.3395184189	9.17E-14	1.66E-10	1	RP11.664D1.1	0.1391633854	0.0046974022	0.1009845532	0.0030084431	0.0078245312	0.0638313062	0.0033066603
NELL2	0.0798834466	0.4426304062	0.1789554313	0.039853295	4.4903547152	2.166829415	2.76E-07	0.0004927133	1	NELL2	0.1789554313	0	0.1013231397	0.0173295992	0.0272493817	0.1112383506	0.0078029583
TSHZ2	0.048394842	0.2631225663	0.1077258561	0.0244220762	4.4110031848	2.1411068021	1.18E-08	2.11E-05	1	TSHZ2	0.1077258561	0.0022857507	0.1153075279	0.0106074086	0	0.0258152322	0.0074662031
C14orf64	0.0601598191	0.2737547036	0.1337601562	0.0304215166	4.3968930924	2.1364844548	3.85E-12	6.95E-09	1	C14orf64	0.1337601562	0.0158303829	0.1016202093	0.0031980678	0.0329812308	0.0304314816	0.0112831102
PLEKHB1	0.0361211845	0.1922168794	0.0796618366	0.018528533	4.2994141372	2.1041400833	7.26E-09	1.30E-05	1	PLEKHB1	0.0796618366	0.0090616452	0.0571037648	0.0033627083	0.0181556476	0.0306800258	0.0025896261
